code,Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
,CA NUOC,12654,940,670,33,10979
,Dong bang song Hong,2755,203,80,8,2453
1,Ha Noi,651,41,29,..,575
,Ha Tay,..,..,..,..,..
26,Vinh Phuc,160,10,11,1,138
27,Bac Ninh,146,11,7,1,126
22,Quang Ninh,219,21,10,1,186
30,Hai Duong,293,21,5,1,265
31,Hai Phuong,251,24,2,1,224
33,Hung Yen,178,16,..,..,162
34,Thai Binh,307,19,..,1,286
35,Ha Nam,132,11,4,..,116
36,Nam Dinh,248,18,..,1,229
37,Ninh Binh,170,11,12,1,146
,Trung du va mien nui phia Bac,2923,182,230,7,2498
2,Ha Giang,208,13,20,..,175
4,Cao Bang,235,16,20,..,199
6,Bac Kan,140,8,10,..,122
8,Tuyen Quang,166,12,13,1,140
10,Lao Cai,213,12,36,1,164
15,Yen Bai,210,12,19,..,178
19,Thai Nguyen,212,15,13,1,180
20,Lang Son,265,14,24,1,226
24,Bac Giang,250,16,4,1,229
25,Phu Tho,296,16,4,1,275
11,Dien Bien,141,10,18,..,112
12,Lai Chau,107,9,8,..,90
14,Son La,239,15,19,1,203
17,Hoa Binh,241,14,22,..,205
,Bac Trung Bo va Duyen hai mien Trung,3275,222,142,10,2894
38,Thanh Hoa,687,36,13,1,636
40,Nghe An,527,25,22,1,479
42,Ha Tinh,293,17,13,1,262
44,Quang Binh,173,8,6,..,159
45,Quang Tri,158,11,5,1,141
46,Thua Thien Hue,181,13,14,1,152
48,Da Nang,69,12,..,1,56
49,Quang Nam,272,22,9,..,240
51,Quang Ngai,205,18,8,..,179
52,Binh Dinh,183,17,6,1,159
54,Phu Yen,135,11,13,1,109
56,Khanh Hoa,170,13,15,1,140
58,Ninh Thuan,82,6,8,1,65
60,Binh Thuan,140,13,10,..,117
,Tay Nguyen,841,68,49,3,717
62,Kon Tum,120,9,12,1,97
64,Gia Lai,254,17,14,1,222
66,Dak Lak,202,20,1,..,180
67,Dak Nong,78,8,..,..,70
68,Lam Dong,187,14,22,1,148
,Dong Nam Bo,1030,110,56,3,858
70,Binh Phuoc,115,9,3,..,102
72,Tay Ninh,109,12,4,1,92
74,Binh Duong,105,8,6,1,89
75,Dong Nai,201,17,13,..,171
77,Ba Ria - Vung Tau,98,10,6,..,82
79,Ho Chi Minh,402,54,24,1,322
,Dong bang song Cuu Long,1830,155,113,2,1559
80,Long An,211,16,5,..,190
82,Tien Giang,200,16,15,..,169
83,Ben Tre,179,11,8,..,160
84,Tra Vinh,115,9,16,..,90
86,Vinh Long,117,9,6,..,102
87,Dong Thap,170,12,13,1,144
89,An Giang,182,15,11,..,156
91,Kien Giang,156,14,16,..,126
92,Can Tho,102,16,5,..,81
93,Hau Giang,86,8,8,..,70
94,Soc Trang,121,11,4,..,106
95,Bac Lieu,74,7,2,..,64
96,Ca Mau,117,11,4,1,101
