code,Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
1,Ha Noi,673,41,49,..,577
26,Vinh Phuc,162,14,8,1,139
27,Bac Ninh,140,12,..,1,126
22,Quang Ninh,218,19,11,1,186
30,Hai Duong,291,19,5,1,265
31,Hai Phong,251,23,2,1,224
33,Hung Yen,179,17,..,..,162
34,Thai Binh,24,22,..,1,..
35,Ha Nam,131,12,2,..,116
36,Nam Dinh,248,18,..,1,229
37,Ninh Binh,172,13,12,1,146
2,Ha Giang,211,14,19,1,177
4,Cao Bang,235,16,20,..,199
6,Bac Kan,133,9,2,..,122
8,Tuyen Quang,166,12,12,1,141
10,Lao Cai,213,12,36,1,164
15,Yen Bai,213,14,19,..,180
19,Thai Nguyen,209,13,13,1,181
20,Lang Son,264,13,24,1,226
24,Bac Giang,249,15,3,1,230
25,Phu Tho,294,16,..,1,277
11,Dien Bien,144,13,18,..,112
12,Lai Chau,128,10,15,..,103
14,Son La,238,16,16,1,204
17,Hoa Binh,243,14,21,..,208
38,Thanh Hoa,687,36,12,1,637
40,Nghe An,531,28,22,1,480
42,Ha Tinh,291,16,12,1,262
44,Quang Binh,173,8,6,..,159
45,Quang Tri,160,10,7,1,142
46,Thua Thien Hue,176,14,8,1,152
48,Da Nang,71,13,..,1,56
49,Quang Nam,280,24,11,..,244
51,Quang Ngai,206,18,6,..,182
52,Binh Dinh,182,17,5,1,159
54,Phu Yen,126,13,7,1,105
56,Khanh Hoa,169,13,14,1,140
58,Ninh Thuan,81,7,7,1,65
60,Binh Thuan,150,13,10,..,127
62,Kon Tum,122,10,13,1,97
64,Gia Lai,242,19,14,1,208
66,Dak Lak,206,20,1,..,184
67,Dak Nong,79,8,..,..,71
68,Lam Dong,187,14,22,1,148
70,Binh Phuoc,128,12,4,..,111
72,Tay Ninh,110,12,2,1,95
74,Binh Duong,112,8,11,1,91
75,Dong Nai,197,16,9,..,171
77,Ba Ria - Vung Tau,98,10,6,..,82
79,Ho Chi Minh,377,50,3,1,322
80,Long An,211,16,5,..,190
82,Tien Giang,193,11,13,..,169
83,Ben Tre,185,12,9,..,164
84,Tra Vinh,119,11,15,..,93
86,Vinh Long,117,9,6,..,102
87,Dong Thap,169,16,8,1,144
89,An Giang,182,15,11,..,156
91,Kien Giang,158,13,16,..,129
92,Can Tho,102,16,..,..,85
93,Hau Giang,92,9,8,1,74
94,Soc Trang,122,11,2,..,109
95,Bac Lieu,73,6,2,..,64
96,Ca Mau,114,12,7,1,94
