code,Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
1,Ha Noi,650,40,29,..,575
26,Vinh Phuc,162,14,8,1,139
27,Bac Ninh,139,11,..,1,126
22,Quang Ninh,216,19,10,..,186
30,Hai Duong,293,21,5,1,265
31,Hai Phong,251,24,2,1,224
33,Hung Yen,179,17,..,..,162
34,Thai Binh,310,22,..,1,286
35,Ha Nam,131,12,2,..,116
36,Nam Dinh,248,18,..,1,229
37,Ninh Binh,173,14,12,1,146
2,Ha Giang,211,15,20,..,176
4,Cao Bang,235,16,20,..,199
6,Bac Kan,133,9,2,..,122
8,Tuyen Quang,167,12,13,1,141
10,Lao Cai,214,13,36,1,164
15,Yen Bai,214,14,19,..,180
19,Thai Nguyen,213,15,13,1,181
20,Lang Son,264,14,24,1,225
24,Bac Giang,250,16,3,1,230
25,Phu Tho,295,17,..,1,277
11,Dien Bien,143,12,18,..,112
12,Lai Chau,122,10,14,..,98
14,Son La,240,16,18,1,204
17,Hoa Binh,243,14,21,..,208
38,Thanh Hoa,687,36,12,1,637
40,Nghe An,529,26,22,1,479
42,Ha Tinh,292,17,12,1,262
44,Quang Binh,174,8,6,1,159
45,Quang Tri,157,10,5,1,141
46,Thua Thien Hue,180,13,13,1,152
48,Da Nang,69,12,..,1,56
49,Quang Nam,277,24,9,..,244
51,Quang Ngai,208,18,8,..,182
52,Binh Dinh,183,17,6,1,159
54,Phu Yen,130,12,7,1,109
56,Khanh Hoa,170,13,15,1,140
58,Ninh Thuan,80,6,7,1,65
60,Binh Thuan,150,13,10,..,127
62,Kon Tum,121,9,13,1,97
64,Gia Lai,256,20,14,..,222
66,Dak Lak,205,20,..,..,184
67,Dak Nong,79,8,..,..,71
68,Lam Dong,187,14,22,1,148
70,Binh Phuoc,125,12,2,..,111
72,Tay Ninh,110,12,2,1,95
74,Binh Duong,112,10,10,..,91
75,Dong Nai,201,17,13,..,171
77,Ba Ria - Vung Tau,98,10,6,..,82
79,Ho Chi Minh,379,52,3,1,322
80,Long An,211,16,5,..,190
82,Tien Giang,193,11,13,..,169
83,Ben Tre,184,12,8,..,164
84,Tra Vinh,115,9,15,..,91
86,Vinh Long,117,9,6,..,102
87,Dong Thap,161,16,..,1,144
89,An Giang,182,15,11,..,156
91,Kien Giang,158,13,16,..,129
92,Can Tho,102,17,..,..,85
93,Hau Giang,89,8,8,..,73
94,Soc Trang,124,12,3,..,109
95,Bac Lieu,74,7,2,..,64
96,Ca Mau,114,12,7,1,94
