code,Name,Total,Hospital,Local clinic,Rehabilitation and nursing hospital,"Health station at commune, ward, office, enterprise"
1,Ha Noi,686,40,1,55,584
26,Vinh Phuc,162,14,1,8,139
27,Bac Ninh,141,13,1,..,126
22,Quang Ninh,216,19,1,10,186
30,Hai Duong,292,20,1,5,265
31,Hai Phong,251,24,1,2,224
33,Hung Yen,179,17,..,..,162
34,Thai Binh,308,20,1,..,286
35,Ha Nam,129,11,..,1,116
36,Nam Dinh,249,19,1,..,229
37,Ninh Binh,171,13,1,12,145
2,Ha Giang,212,15,1,19,177
4,Cao Bang,231,16,..,16,199
6,Bac Kan,132,9,..,1,122
8,Tuyen Quang,167,14,1,11,141
10,Lao Cai,213,12,1,36,164
15,Yen Bai,214,15,..,19,180
19,Thai Nguyen,213,19,2,11,181
20,Lang Son,265,13,1,25,226
24,Bac Giang,250,16,1,3,230
25,Phu Tho,287,16,..,..,277
11,Dien Bien,161,14,..,17,130
12,Lai Chau,133,10,..,15,108
14,Son La,236,16,1,14,204
17,Hoa Binh,245,14,..,21,210
38,Thanh Hoa,684,35,1,12,635
40,Nghe An,518,28,1,9,480
42,Ha Tinh,282,18,1,1,262
44,Quang Binh,174,8,..,7,159
45,Quang Tri,159,11,1,6,141
46,Thua Thien Hue,179,17,1,8,152
48,Da Nang,72,14,1,..,56
49,Quang Nam,283,26,..,12,244
51,Quang Ngai,206,19,..,4,183
52,Binh Dinh,182,17,1,5,159
54,Phu Yen,126,13,1,..,112
56,Khanh Hoa,169,12,1,14,140
58,Ninh Thuan,82,8,1,7,65
60,Binh Thuan,141,13,..,10,117
62,Kon Tum,129,12,1,14,102
64,Gia Lai,258,22,..,14,222
66,Dak Lak,206,21,..,..,184
67,Dak Nong,80,8,..,..,71
68,Lam Dong,188,15,1,23,147
70,Binh Phuoc,128,13,..,4,111
72,Tay Ninh,110,12,1,2,95
74,Binh Duong,121,11,1,18,91
75,Dong Nai,196,16,..,8,171
77,Ba Ria - Vung Tau,100,12,..,6,82
79,Ho Chi Minh,377,53,1,3,319
80,Long An,214,18,..,4,192
82,Tien Giang,207,11,..,23,173
83,Ben Tre,185,12,..,9,164
84,Tra Vinh,122,12,..,16,94
86,Vinh Long,124,13,..,2,109
87,Dong Thap,171,16,1,10,144
89,An Giang,184,16,..,12,156
91,Kien Giang,158,13,..,14,131
92,Can Tho,105,17,..,2,85
93,Hau Giang,95,10,..,8,76
94,Soc Trang,123,12,..,2,109
95,Bac Lieu,75,7,1,2,64
96,Ca Mau,117,12,1,10,94
